state,coc,coc_num,coc_award_amount,rural_urban,total_beds,total_hmis_beds,hmis_bed_coverage_perc,es_sh_avg_days,es_sh_median_days,es_sh_th_avg_days,es_sh_th_median_days,num_exit_to_perm_housing_so,num_return_6_so,num_return_12_so,num_return_24_so,perc_return_6_so,perc_return_12_so,perc_return_24_so,num_exit_to_perm_housing_es,num_return_6_es,num_return_12_es,num_return_24_es,perc_return_6_es,perc_return_12_es,perc_return_24_es,num_exit_to_perm_housing_th,num_return_6_th,num_return_12_th,num_return_24_th,perc_return_6_th,perc_return_12_th,perc_return_24_th,num_exit_to_perm_housing_sh,num_return_6_sh,num_return_12_sh,num_return_24_sh,perc_return_6_sh,perc_return_12_sh,perc_return_24_sh,num_exit_to_perm_housing_ph,num_return_6_ph,num_return_12_ph,num_return_24_ph,perc_return_6_ph,perc_return_12_ph,perc_return_24_ph,num_exit_to_perm_housing_so_es_th_sh_ph,num_return_6_so_es_th_sh_ph,num_return_12_so_es_th_sh_ph,num_return_24_all,perc_return_6_all,perc_return_12_all,perc_return_24_all,,,,,,,,,,avg_pct_wage_inc,,,,,,,,total_num_exit_so,num_exit_so_to_temp,num_exit_so_to_perm,perc_successfully_exit_so,total_num_exit_es_th_sh_phrrh,num_exit_es_th_sh_phrrh_to_perm,perc_successfully_exit_es_th_sh_phrrh_to_perm,,,,,,,,,,,,,,,,,,
MI,Holland/Ottawa County CoC,MI-519,"$1,292,064.00",Largely Suburban CoC,244,244,100%,43,31,76,39,0,0,0,0,NA,NA,NA,425,91,137,158,21%,32%,37%,57,8,11,20,14%,19%,35%,0,0,0,0,NA,NA,NA,59,1,1,6,2%,2%,10%,541,100,149,184,18%,28%,34%,1171,52,6,12%,37,71%,40,77%,30,9,30%,3,10%,12,40%,758,806,27,0,10,37%,951,441,46%,109,107,98%,754,132,18%,42,12,29%,9,0,0%,27,0,0%,9,4,44%
MI,Eaton County CoC,MI-523,"$1,016,964.00",Largely Suburban CoC,82,82,100%,34,6,111,40,0,0,0,0,NA,NA,NA,141,11,11,23,8%,8%,16%,21,3,3,3,14%,14%,14%,0,0,0,0,NA,NA,NA,296,12,18,30,4%,6%,10%,458,26,32,56,6%,7%,12%,340,18,3,17%,10,56%,13,72%,32,11,34%,6,19%,14,44%,239,370,10,0,10,100%,448,417,93%,42,42,100%,277,3,1%,39,0,0%,14,0,0%,367,0,0%,1,0,0%
MN,Minneapolis/Hennepin County CoC,MN-500,"$13,516,105.00",Major City CoC,2447,2342,96%,68,36,103,47,157,30,50,59,19%,32%,38%,431,117,159,189,27%,37%,44%,218,20,34,48,9%,16%,22%,0,0,0,0,NA,NA,NA,1557,160,229,318,10%,15%,20%,2363,327,472,614,14%,20%,26%,8865,1035,105,10%,339,33%,405,39%,609,182,30%,170,28%,308,51%,4839,5796,503,132,287,83%,7427,1760,24%,5893,5496,93%,8045,3063,38%,503,38,8%,1373,105,8%,1679,90,5%,382,57,15%
MN,Saint Paul/Ramsey County CoC,MN-501,"$6,806,892.00",Other Largely Urban CoC,1193,711,60%,73,40,115,53,85,11,16,18,13%,19%,21%,387,50,60,92,13%,16%,24%,132,7,15,27,5%,11%,20%,0,0,0,0,NA,NA,NA,593,22,48,84,4%,8%,14%,1197,90,139,221,8%,12%,18%,2956,521,62,12%,178,34%,210,40%,218,46,21%,58,27%,94,43%,1708,2284,396,95,129,57%,2889,528,18%,2690,2496,93%,2853,2129,75%,115,2,2%,744,68,9%,359,15,4%,341,50,15%
MN,Rochester/Southeast Minnesota CoC,MN-502,"$2,311,541.00",Largely Rural CoC,356,287,81%,45,30,130,61,10,0,0,4,0%,0%,40%,217,2,11,33,1%,5%,15%,102,0,0,2,0%,0%,2%,0,0,0,0,NA,NA,NA,335,5,16,28,1%,5%,8%,664,7,27,67,1%,4%,10%,734,141,18,13%,45,32%,58,41%,92,19,21%,33,36%,46,50%,502,805,8,2,3,63%,764,503,66%,777,727,94%,526,99,19%,137,10,7%,215,20,9%,248,2,1%,7,3,43%
MN,"Dakota, Anoka, Washington, Scott, Carver Counties ",MN-503,"$4,020,020.00",Largely Suburban CoC,307,281,92%,69,44,115,59,73,2,4,5,3%,5%,7%,305,30,42,56,10%,14%,18%,37,3,3,3,8%,8%,8%,0,0,0,0,NA,NA,NA,353,5,11,16,1%,3%,5%,768,40,60,80,5%,8%,10%,1403,220,28,13%,80,36%,93,42%,96,25,26%,31,32%,49,51%,806,1240,317,83,130,67%,1209,499,41%,1017,910,89%,1035,455,44%,97,6,6%,256,36,14%,394,28,7%,200,55,28%
MN,Northeast Minnesota CoC,MN-504,"$463,344.00",Largely Rural CoC,52,52,100%,33,24,91,38,0,0,0,0,NA,NA,NA,65,4,4,8,6%,6%,12%,27,1,1,3,4%,4%,11%,0,0,0,0,NA,NA,NA,133,1,2,10,1%,2%,8%,225,6,7,21,3%,3%,9%,304,25,1,4%,8,32%,9,36%,44,11,25%,5,11%,16,36%,233,420,0,0,0,NA,401,280,70%,168,147,88%,240,15,6%,42,3,7%,52,3,6%,179,0,0%,0,0,NA
MN,St. Cloud/Central Minnesota CoC,MN-505,"$1,649,942.00",Largely Rural CoC,331,266,80%,36,13,101,29,48,3,4,7,6%,8%,15%,214,23,44,58,11%,21%,27%,175,9,21,22,5%,12%,13%,0,0,0,0,NA,NA,NA,236,10,15,24,4%,6%,10%,673,45,84,111,7%,12%,16%,1254,67,7,10%,21,31%,26,39%,43,10,23%,13,30%,20,47%,829,1144,248,53,39,37%,1424,621,44%,503,481,96%,1001,284,28%,202,28,14%,126,9,7%,409,9,2%,133,58,44%
MN,Northwest Minnesota CoC,MN-506,"$707,636.00",Largely Rural CoC,216,216,100%,52,30,132,59,59,1,2,3,2%,3%,5%,302,64,78,89,21%,26%,29%,74,2,2,4,3%,3%,5%,95,6,12,13,6%,13%,14%,530,73,94,109,14%,18%,21%,1060,146,188,218,14%,18%,21%,869,46,3,7%,9,20%,9,20%,37,5,14%,5,14%,9,24%,553,855,11,2,6,73%,712,384,54%,520,454,87%,555,56,10%,136,4,3%,214,19,9%,175,1,1%,8,2,25%
MN,Moorhead/West Central Minnesota CoC,MN-508,"$948,825.00",Largely Rural CoC,171,171,100%,37,14,115,26,15,7,7,7,47%,47%,47%,164,16,23,30,10%,14%,18%,43,8,11,12,19%,26%,28%,0,0,0,0,NA,NA,NA,168,10,12,16,6%,7%,10%,390,41,53,65,11%,14%,17%,1007,78,9,12%,24,31%,31,40%,21,3,14%,11,52%,13,62%,760,1011,99,13,8,21%,859,323,38%,630,588,93%,809,227,28%,89,12,13%,212,12,6%,168,0,0%,92,72,78%
MN,Duluth/St.Louis County CoC,MN-509,"$3,262,299.00",Largely Rural CoC,315,284,90%,33,18,98,25,141,11,12,15,8%,9%,11%,237,42,57,79,18%,24%,33%,146,9,12,21,6%,8%,14%,0,0,0,0,NA,NA,NA,239,8,18,32,3%,8%,13%,763,70,99,147,9%,13%,19%,1276,261,21,8%,38,15%,53,20%,197,20,10%,40,20%,58,29%,781,707,173,6,74,46%,1231,421,34%,950,852,90%,990,608,61%,155,12,8%,293,23,8%,272,6,2%,6,0,0%
MN,Southwest Minnesota CoC,MN-511,"$1,112,663.00",Largely Rural CoC,79,73,92%,32,24,64,35,0,0,0,0,NA,NA,NA,148,15,21,24,10%,14%,16%,47,0,3,3,0%,6%,6%,0,0,0,0,NA,NA,NA,123,2,2,12,2%,2%,10%,318,17,26,39,5%,8%,12%,447,53,7,13%,13,25%,17,32%,78,20,26%,13,17%,29,37%,359,488,0,0,0,NA,488,363,74%,189,167,88%,322,14,4%,61,3,5%,77,13,17%,266,4,2%,0,0,NA
MO,St. Louis County CoC,MO-500,"$2,089,196.00",Largely Suburban CoC,305,233,76%,43,24,96,35,9,1,2,2,11%,22%,22%,324,27,41,49,8%,13%,15%,44,0,0,2,0%,0%,5%,0,0,0,0,NA,NA,NA,231,4,11,21,2%,5%,9%,608,32,54,74,5%,9%,12%,1172,199,19,10%,32,16%,37,19%,47,5,11%,8,17%,10,21%,892,1183,166,62,45,64%,1391,653,47%,409,398,97%,1065,61,6%,162,1,1%,59,1,2%,561,5,1%,281,42,15%
MO,St.Louis City CoC,MO-501,"$12,602,939.00",Other Largely Urban CoC,740,611,83%,78,44,122,61,47,11,13,14,23%,28%,30%,441,43,72,97,10%,16%,22%,358,16,25,43,4%,7%,12%,0,0,0,0,NA,NA,NA,420,9,20,31,2%,5%,7%,1266,79,130,185,6%,10%,15%,2267,985,54,5%,203,21%,237,24%,352,63,18%,92,26%,144,41%,1441,1957,441,84,98,41%,2437,1246,51%,1779,1742,98%,1750,296,17%,254,14,6%,278,2,1%,946,6,1%,643,78,12%
MO,"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,"$429,294.00",Largely Suburban CoC,131,131,100%,52,24,61,26,13,0,0,0,0%,0%,0%,160,9,13,16,6%,8%,10%,16,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,254,2,7,13,1%,3%,5%,443,11,20,29,2%,5%,7%,480,13,0,0%,8,62%,8,62%,18,3,17%,4,22%,7,39%,379,635,171,38,16,32%,446,242,54%,147,140,95%,404,13,3%,26,1,4%,31,2,6%,260,0,0%,200,88,44%
MO,"Springfield/Greene, Christian, Webster Counties CoC",MO-600,"$1,042,632.00",Other Largely Urban CoC,232,211,91%,45,23,60,28,7,1,1,2,14%,14%,29%,160,21,27,35,13%,17%,22%,52,2,2,5,4%,4%,10%,0,0,0,0,NA,NA,NA,168,11,17,29,7%,10%,17%,387,35,47,71,9%,12%,18%,902,78,4,5%,17,22%,19,24%,70,12,17%,13,19%,24,34%,677,869,140,23,15,27%,945,368,39%,122,118,97%,830,158,19%,140,0,0%,36,0,0%,214,19,9%,146,19,13%
MO,"Joplin/Jasper, Newton Counties CoC",MO-602,"$596,816.00",Largely Rural CoC,254,72,28%,78,50,176,105,0,0,0,0,NA,NA,NA,28,2,2,6,7%,7%,21%,93,8,14,21,9%,15%,23%,0,0,0,0,NA,NA,NA,143,2,8,8,1%,6%,6%,264,12,24,35,5%,9%,13%,147,71,10,14%,20,28%,28,39%,66,8,12%,19,29%,26,39%,93,342,55,0,4,7%,320,277,87%,143,142,99%,91,0,0%,55,0,0%,52,0,0%,226,1,0%,55,1,2%
MO,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,"$1,590,352.00",Other Largely Urban CoC,121,121,100%,180,170,243,145,16,0,0,1,0%,0%,6%,87,2,4,8,2%,5%,9%,6,0,0,0,0%,0%,0%,6,0,0,0,0%,0%,0%,83,2,4,5,2%,5%,6%,198,4,8,14,2%,4%,7%,154,102,14,14%,34,33%,44,43%,57,5,9%,12,21%,16,28%,94,238,84,44,22,79%,223,139,62%,196,194,99%,38,0,0%,65,63,97%,38,0,0%,147,5,3%,86,0,0%
MO,Kansas City/Independence/Lee's Summit/Jackson County CoC,MO-604M,"$14,678,050.00",Major City CoC,1618,1280,79%,99,55,129,70,66,7,10,12,11%,15%,18%,360,52,61,80,14%,17%,22%,371,56,105,120,15%,28%,32%,1,0,0,0,0%,0%,0%,888,59,73,116,7%,8%,13%,1686,174,249,328,10%,15%,19%,2056,965,67,7%,263,27%,313,32%,644,109,17%,127,20%,219,34%,1309,1838,252,30,93,49%,1799,1013,56%,1823,1762,97%,841,99,12%,622,62,10%,296,23,8%,643,21,3%,295,87,29%
MO,Missouri Balance of State CoC,MO-606,"$5,056,332.00",Largely Rural CoC,618,332,54%,48,28,62,30,54,4,5,5,7%,9%,9%,588,59,85,120,10%,14%,20%,60,1,4,5,2%,7%,8%,5,0,0,0,0%,0%,0%,950,14,25,50,1%,3%,5%,1657,78,119,180,5%,7%,11%,1948,424,32,8%,73,17%,87,21%,291,39,13%,49,17%,85,29%,1488,2356,317,51,78,41%,2393,1295,54%,1041,977,94%,1701,99,6%,90,1,1%,334,13,4%,936,9,1%,320,125,39%
MP,Northern Mariana Islands CoC,MP-500,"$13,983.00",Largely Rural CoC,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,18,0,0,0,0%,0%,0%,18,0,0,0,0%,0%,0%,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,33,0,0,0,NA,34,22,65%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,27,0,0%,0,0,NA
MS,"Jackson/Rankin, Madison Counties CoC",MS-500,"$1,489,445.00",Largely Suburban CoC,407,205,50%,24,5,84,9,0,0,0,0,NA,NA,NA,91,12,14,14,13%,15%,15%,37,3,5,12,8%,14%,32%,0,0,0,0,NA,NA,NA,102,0,2,3,0%,2%,3%,230,15,21,29,7%,9%,13%,1303,52,4,8%,11,21%,14,27%,241,19,8%,3,1%,20,8%,858,1167,24,0,23,96%,1386,425,31%,246,192,78%,1047,847,81%,197,63,32%,240,18,8%,333,3,1%,23,1,4%
MS,Mississippi Balance of State CoC,MS-501,"$3,088,029.00",Largely Rural CoC,298,244,82%,48,28,84,32,12,0,0,0,0%,0%,0%,217,10,15,30,5%,7%,14%,43,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,925,9,14,28,1%,2%,3%,1197,19,29,58,2%,2%,5%,629,37,6,16%,2,5%,8,22%,244,71,29%,20,8%,82,34%,454,1345,125,30,82,90%,1330,920,69%,151,129,85%,513,53,10%,50,2,4%,138,2,1%,1147,37,3%,83,5,6%
MS,Gulf Port/Gulf Coast Regional CoC,MS-503,"$847,930.00",Largely Rural CoC,42,42,100%,0,0,213,197,527,15,25,52,3%,5%,10%,45,1,3,6,2%,7%,13%,24,0,0,1,0%,0%,4%,0,0,0,0,NA,NA,NA,186,7,9,20,4%,5%,11%,782,23,37,79,3%,5%,10%,28,26,1,4%,4,15%,4,15%,23,6,26%,4,17%,8,35%,17,444,627,51,525,92%,531,468,88%,59,53,90%,0,0,NA,18,1,6%,24,0,0%,517,6,1%,588,12,2%
MT,Montana Statewide CoC,MT-500,"$2,573,182.00",Largely Rural CoC,1036,106,10%,30,13,42,14,0,0,0,0,NA,NA,NA,2,1,2,2,50%,100%,100%,23,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,627,5,8,17,1%,1%,3%,652,6,10,19,1%,2%,3%,894,42,5,12%,7,17%,11,26%,245,32,13%,23,9%,54,22%,955,1949,49,10,21,63%,1062,791,74%,106,97,92%,952,828,87%,11,2,18%,97,1,1%,960,53,6%,1,0,0%
NC,Winston-Salem/Forsyth County CoC,NC-500,"$2,235,705.00",Other Largely Urban CoC,367,292,80%,71,43,79,45,0,0,0,0,NA,NA,NA,316,54,86,97,17%,27%,31%,19,2,2,2,11%,11%,11%,0,0,0,0,NA,NA,NA,326,24,44,54,7%,13%,17%,661,80,132,153,12%,20%,23%,1666,24,2,8%,8,33%,9,38%,118,9,8%,16,14%,25,21%,1077,1178,0,0,0,NA,1389,619,45%,80,77,96%,1501,138,9%,35,0,0%,74,0,0%,319,8,3%,59,0,0%
NC,Asheville/Buncombe County CoC,NC-501,"$1,406,554.00",Largely Suburban CoC,459,316,69%,44,16,183,106,17,3,3,5,18%,18%,29%,242,27,46,59,11%,19%,24%,202,24,30,40,12%,15%,20%,0,0,0,0,NA,NA,NA,260,7,13,24,3%,5%,9%,721,61,92,128,8%,13%,18%,836,124,5,4%,57,46%,60,48%,40,0,0%,10,25%,10,25%,480,584,50,6,4,20%,576,340,59%,250,241,96%,453,50,11%,251,12,5%,95,12,13%,150,0,0%,150,3,2%
NC,Durham City & County CoC,NC-502,"$1,522,268.00",Other Largely Urban CoC,303,303,100%,94,73,113,81,0,0,0,0,NA,NA,NA,397,35,53,71,9%,13%,18%,33,2,3,6,6%,9%,18%,0,0,0,0,NA,NA,NA,248,11,17,25,4%,7%,10%,678,48,73,102,7%,11%,15%,1093,120,14,12%,41,34%,47,39%,70,11,16%,19,27%,29,41%,696,787,44,2,22,55%,950,575,61%,357,333,93%,816,37,5%,60,6,10%,56,14,25%,432,1,0%,46,17,37%
NC,North Carolina Balance of State CoC,NC-503,"$8,941,246.00",Largely Rural CoC,2359,1407,60%,69,35,84,39,16,5,8,9,31%,50%,56%,1554,155,268,364,10%,17%,23%,205,7,15,20,3%,7%,10%,0,0,0,0,NA,NA,NA,1177,28,44,65,2%,4%,6%,2952,195,335,458,7%,11%,16%,6091,872,82,9%,228,26%,264,30%,170,29,17%,27,16%,52,31%,4207,5202,78,43,20,81%,5900,2591,44%,1225,1206,98%,4913,1255,26%,245,38,16%,181,7,4%,1518,142,9%,35,2,6%
NC,"Greensboro, High Point CoC",NC-504,"$2,134,339.00",Other Largely Urban CoC,454,427,94%,70,45,91,61,6,2,2,2,33%,33%,33%,677,93,112,135,14%,17%,20%,136,8,8,11,6%,6%,8%,0,0,0,0,NA,NA,NA,207,11,30,43,5%,14%,21%,1026,114,152,191,11%,15%,19%,2224,108,7,6%,12,11%,15,14%,27,3,11%,8,30%,11,41%,1359,1396,65,5,14,29%,1560,610,39%,132,125,95%,1605,72,4%,194,0,0%,34,0,0%,117,0,0%,81,3,4%
NC,Charlotte/Mecklenberg CoC,NC-505,"$4,771,863.00",Major City CoC,1261,1195,95%,103,68,141,77,15,5,7,9,33%,47%,60%,1937,277,396,536,14%,20%,28%,277,7,16,19,3%,6%,7%,0,0,0,0,NA,NA,NA,921,37,73,120,4%,8%,13%,3150,326,492,684,10%,16%,22%,4625,314,33,11%,125,40%,134,43%,120,15,13%,30,25%,43,36%,2739,2995,322,44,75,37%,3486,1822,52%,1023,969,95%,3218,1581,49%,358,14,4%,261,33,13%,812,17,2%,86,9,10%
NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,"$699,688.00",Largely Suburban CoC,296,226,76%,62,34,104,54,0,0,0,0,NA,NA,NA,338,40,63,73,12%,19%,22%,120,5,7,12,4%,6%,10%,0,0,0,0,NA,NA,NA,72,1,5,5,1%,7%,7%,530,46,75,90,9%,14%,17%,1063,59,3,5%,18,31%,18,31%,55,18,33%,12,22%,26,47%,784,793,134,2,60,46%,802,399,50%,109,106,97%,722,34,5%,178,3,2%,24,0,0%,39,0,0%,135,20,15%
NC,Raleigh/Wake County CoC,NC-507,"$3,436,755.00",Major City CoC,701,701,100%,58,29,77,33,17,0,1,7,0%,6%,41%,614,122,163,199,20%,27%,32%,165,12,32,34,7%,19%,21%,0,0,0,0,NA,NA,NA,569,29,51,74,5%,9%,13%,1365,163,247,314,12%,18%,23%,4130,299,39,13%,96,32%,110,37%,148,26,18%,20,14%,43,29%,2634,2792,385,30,124,40%,3680,845,23%,598,582,97%,3490,579,17%,157,6,4%,121,5,4%,421,15,4%,376,28,7%
NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,"$788,859.00",Largely Suburban CoC,219,106,48%,89,53,89,53,0,0,0,0,NA,NA,NA,375,34,69,100,9%,18%,27%,2,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,68,2,3,3,3%,4%,4%,445,36,72,103,8%,16%,23%,210,38,3,8%,15,39%,16,42%,16,1,6%,4,25%,3,19%,55,55,0,0,0,NA,251,157,63%,53,53,100%,535,15,3%,0,0,NA,75,7,9%,79,4,5%,0,0,NA
NC,Fayetteville/Cumberland County CoC,NC-511,"$731,891.00",Other Largely Urban CoC,95,95,100%,56,56,195,90,12,0,0,1,0%,0%,8%,8,0,0,0,0%,0%,0%,63,6,6,7,10%,10%,11%,0,0,0,0,NA,NA,NA,208,1,2,3,0%,1%,1%,291,7,8,11,2%,3%,4%,328,24,6,25%,3,13%,8,33%,25,16,64%,8,32%,19,76%,222,296,0,0,0,NA,237,166,70%,78,78,100%,154,0,0%,43,0,0%,15,0,0%,54,0,0%,0,0,NA
NC,Chapel Hill/Orange County CoC,NC-513,"$723,974.00",Other Largely Urban CoC,92,91,99%,125,64,231,121,0,0,0,0,NA,NA,NA,35,1,2,2,3%,6%,6%,36,7,8,9,19%,22%,25%,0,0,0,0,NA,NA,NA,29,2,2,3,7%,7%,10%,100,10,12,14,10%,12%,14%,280,48,11,23%,22,46%,23,48%,8,0,0%,5,63%,5,63%,150,166,0,0,0,NA,200,71,36%,56,56,100%,140,4,3%,73,3,4%,9,0,0%,13,0,0%,0,0,NA
NC,Northwest North Carolina CoC,NC-516,"$354,661.00",Largely Rural CoC,95,53,56%,56,26,106,32,0,0,0,0,NA,NA,NA,63,18,19,22,29%,30%,35%,37,3,15,15,8%,41%,41%,0,0,0,0,NA,NA,NA,12,0,0,0,0%,0%,0%,112,21,34,37,19%,30%,33%,327,22,3,14%,3,14%,5,23%,31,4,13%,6,19%,9,29%,214,234,0,0,0,NA,278,84,30%,46,44,96%,274,43,16%,32,1,3%,13,0,0%,22,0,0%,0,0,NA
ND,North Dakota Statewide CoC,ND-500,"$2,058,043.00",Largely Rural CoC,510,510,100%,49,23,78,30,43,26,30,31,60%,70%,72%,176,17,28,38,10%,16%,22%,313,19,44,63,6%,14%,20%,0,0,0,0,NA,NA,NA,284,12,22,34,4%,8%,12%,816,74,124,166,9%,15%,20%,2345,102,14,14%,47,46%,51,50%,79,7,9%,20,25%,24,30%,1443,1725,87,56,16,83%,2260,850,38%,432,384,89%,1906,1065,56%,250,20,8%,176,5,3%,324,19,6%,89,8,9%
NE,Nebraska Balance of State CoC,NE-500,"$2,107,373.00",Largely Rural CoC,679,644,95%,39,15,72,28,8,0,0,0,0%,0%,0%,570,45,76,135,8%,13%,24%,180,11,14,23,6%,8%,13%,0,0,0,0,NA,NA,NA,481,9,23,48,2%,5%,10%,1239,65,113,206,5%,9%,17%,2474,51,17,33%,11,22%,21,41%,145,70,48%,17,12%,79,54%,1911,2219,4,2,1,75%,2394,1173,49%,110,101,92%,1910,437,23%,609,127,21%,50,6,12%,580,12,2%,6,1,17%
NE,"Omaha, Council Bluffs CoC",NE-501,"$4,630,609.00",Major City CoC,1265,1265,100%,67,32,86,42,152,23,42,63,15%,28%,41%,1210,175,262,403,14%,22%,33%,74,9,11,18,12%,15%,24%,0,0,0,0,NA,NA,NA,725,84,137,204,12%,19%,28%,2161,291,452,688,13%,21%,32%,6481,210,7,3%,61,29%,64,30%,236,41,17%,45,19%,84,36%,3296,3419,1579,107,270,24%,5184,1593,31%,829,789,95%,5033,1961,39%,815,54,7%,141,2,1%,799,34,4%,1590,1176,74%
NE,Lincoln CoC,NE-502,"$2,479,264.00",Other Largely Urban CoC,335,335,100%,70,32,77,38,50,11,15,25,22%,30%,50%,241,38,58,76,16%,24%,32%,182,19,30,32,10%,16%,18%,0,0,0,0,NA,NA,NA,73,1,4,5,1%,5%,7%,546,69,107,138,13%,20%,25%,1752,91,12,13%,17,19%,27,30%,102,24,24%,22,22%,42,41%,1102,1221,142,38,22,42%,1631,394,24%,211,197,93%,1668,946,57%,78,5,6%,175,16,9%,160,0,0%,110,74,67%
NH,New Hampshire Balance of State CoC,NH-500,"$4,589,707.00",Largely Rural CoC,499,465,93%,78,44,114,52,30,2,4,4,7%,13%,13%,737,169,206,240,23%,28%,33%,66,0,2,2,0%,3%,3%,0,0,0,0,NA,NA,NA,356,8,17,31,2%,5%,9%,1189,179,229,277,15%,19%,23%,2195,212,19,9%,111,52%,120,57%,109,14,13%,47,43%,58,53%,1463,1669,125,28,45,58%,1987,1036,52%,419,401,96%,1720,231,13%,142,12,8%,97,4,4%,343,4,1%,92,29,32%
NH,Manchester CoC,NH-501,"$1,503,148.00",Other Largely Urban CoC,393,383,97%,61,25,150,38,6,1,1,2,17%,17%,33%,142,23,35,47,16%,25%,33%,141,9,11,15,6%,8%,11%,0,0,0,0,NA,NA,NA,176,5,8,11,3%,5%,6%,465,38,55,75,8%,12%,16%,1914,110,16,15%,47,43%,48,44%,65,12,18%,25,38%,31,48%,1180,1295,126,5,8,10%,1526,327,21%,341,314,92%,1419,1088,77%,108,12,11%,100,19,19%,113,0,0%,79,63,80%
NH,Nashua/Hillsborough County CoC,NH-502,"$1,981,250.00",Largely Suburban CoC,251,221,88%,55,29,201,66,3,1,1,1,33%,33%,33%,99,24,30,35,24%,30%,35%,133,5,6,9,4%,5%,7%,3,0,0,0,0%,0%,0%,109,6,8,10,6%,7%,9%,347,36,45,55,10%,13%,16%,708,92,10,11%,39,42%,42,46%,22,1,5%,11,50%,12,55%,380,400,3,2,1,100%,489,161,33%,194,187,96%,375,122,33%,122,9,7%,30,2,7%,19,0,0%,1,0,0%
NJ,Atlantic City & County CoC,NJ-500,"$590,105.00",Largely Suburban CoC,328,283,86%,56,7,71,8,135,8,12,16,6%,9%,12%,228,28,42,60,12%,18%,26%,5,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,230,8,13,24,3%,6%,10%,598,44,67,100,7%,11%,17%,1511,23,1,4%,1,4%,2,9%,26,7,27%,0,0%,7,27%,978,2233,257,93,59,59%,2462,1083,44%,136,130,96%,1364,932,68%,12,0,0%,39,2,5%,1388,41,3%,44,0,0%
NJ,Bergen County CoC,NJ-501,"$5,480,285.00",Largely Suburban CoC,298,298,100%,62,29,136,59,0,0,0,0,NA,NA,NA,184,5,18,36,3%,10%,20%,149,3,3,6,2%,2%,4%,0,0,0,0,NA,NA,NA,60,0,0,0,0%,0%,0%,393,8,21,42,2%,5%,11%,987,184,21,11%,98,53%,112,61%,88,52,59%,13,15%,64,73%,701,807,68,8,20,41%,727,321,44%,376,372,99%,582,247,42%,199,16,8%,77,2,3%,97,0,0%,0,0,NA
NJ,Burlington County CoC,NJ-502,"$515,342.00",Largely Suburban CoC,384,349,91%,90,26,120,33,5,0,0,0,0%,0%,0%,278,29,33,50,10%,12%,18%,38,0,0,0,0%,0%,0%,0,0,0,0,NA,NA,NA,109,0,5,10,0%,5%,9%,430,29,38,60,7%,9%,14%,1624,59,4,7%,34,58%,36,61%,5,0,0%,5,100%,5,100%,1090,1279,9,1,1,22%,1382,334,24%,183,143,78%,1270,0,0%,149,1,1%,12,0,0%,95,0,0%,9,6,67%
NJ,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,"$3,651,993.00",Largely Suburban CoC,579,579,100%,77,24,94,29,35,2,4,5,6%,11%,14%,756,93,121,151,12%,16%,20%,144,3,12,19,2%,8%,13%,0,0,0,0,NA,NA,NA,339,3,6,9,1%,2%,3%,1274,101,143,184,8%,11%,14%,4076,209,4,2%,89,43%,90,43%,20,1,5%,7,35%,8,40%,2717,3127,248,12,22,14%,3634,984,27%,664,642,97%,3273,1331,41%,181,9,5%,60,5,8%,398,23,6%,113,76,67%
NJ,Newark/Essex County CoC,NJ-504,"$6,376,138.00",Largely Suburban CoC,2365,2234,94%,87,49,116,68,4,0,0,0,0%,0%,0%,1022,66,101,155,6%,10%,15%,471,17,37,55,4%,8%,12%,0,0,0,0,NA,NA,NA,447,10,18,26,2%,4%,6%,1944,93,156,236,5%,8%,12%,5648,445,32,7%,122,27%,147,33%,130,25,19%,38,29%,62,48%,3885,4459,715,19,38,8%,4375,2152,49%,1528,1455,95%,3710,1110,30%,999,90,9%,177,21,12%,456,7,2%,53,17,32%
NJ,"Jersey City, Bayonne/Hudson County CoC",NJ-506,"$7,157,049.00",Largely Suburban CoC,375,349,93%,54,17,59,18,38,7,7,7,18%,18%,18%,1079,139,218,269,13%,20%,25%,15,0,0,4,0%,0%,27%,0,0,0,0,NA,NA,NA,222,4,22,29,2%,10%,13%,1354,150,247,309,11%,18%,23%,3163,204,19,9%,56,27%,69,34%,80,29,36%,21,26%,42,53%,2098,2278,498,17,58,15%,2972,1082,36%,496,481,97%,2788,1324,47%,56,2,4%,55,0,0%,472,14,3%,60,9,15%
